Tag;Sponsor;Ansprechpartner;Briefanrede;Straße/Hausnummer;PLZ/Ort;Tel.;FAX;email;Preis;Anzahl;Einzelpreis;Gesamtpreis
1;Grundl Elektro;Erwin Grundl;Sehr geehrter Herr Grundl;Dorfstraße 20;88171 Ellhofen;08387-440;08387-1450;info@elektro-grundl.de;Rundflug mit Doppeldecker 1/2 Std.;1; 	200,00 € ; 	200,00 €
1;Villa Lessing, Weiler;Natascha Lessing;Sehr geehrte Frau Lessing;Bahnhofstraße 14;88171 Weiler;08387-463;;info@pension-villa-lessing.de;je einen Brunch im Wert von 37,- €;2; 	37,00 € ; 	74,00 €
1;Meier Martin Allgäuer Edelbrände;Meier Martin ;Sehr geehrter Herr Meier;Grub 4;88239 Neuravensburg;07528-7355;07528-927154;allgaeuer-edelbraende@t-online.de;je eine Flasche Edelbrand im Wert von 20,- €;5; 	20,00 € ; 	100,00 €
1;Aras Auto GmbH;Hr. Aras;Sehr geehrter Herr Aras;Grüntenweg 4;88175 Scheidegg;08381-7930;08381-82254;info@auto-aras.de;Reifenwechsel mit Einlagerung und Wintercheck;1; 	50,00 € ; 	50,00 €
2;Rieser Bäckerei;Rieser Hans Georg;Sehr geehrter Herr Rieser;Alte Salzstraße 35;88171 Simmerberg;08387-99280;08387-99281;info@rieser-simmerberg.de;je ein Sektfrühstück im Wert von 20,- €;3; 	20,00 € ; 	60,00 €
2;Baldauf Bürobedarf;Louis Baldauf;Sehr geehrter Herr Baldauf;Kemptener Strasse 28;88178 Heimenkirch;08381-3759;08381-6759;louis.baldauf@web.de;je einen Warengutschein über 20,- €;3; 	20,00 € ; 	60,00 €
2;Förderverein Kunsteisplatz;'An der Kasse';;Austraße 40;88161 Lindenberg;08381-81431;;info@eisplatz-lindenberg.de;je eine 10er Karte Erwachsene;2; 	30,00 € ; 	60,00 €
2;Förderverein Kunsteisplatz;'An der Kasse';;Austraße 40;88161 Lindenberg;08381-81431;;info@eisplatz-lindenberg.de;je eine 10er Karte Jugendliche;2; 	20,00 € ; 	40,00 €
2;Blatt + Blüte Floristik;W. Berger;Sehr geehrter Herr Berger;Hauptstraße 102a;88161 Lindenberg;08381-819 19;;info@blatt-bluete.de;je einen Einkaufsgutschein über 50,- €;4; 	50,00 € ; 	200,00 €
3;Markt Weiler Simmerberg;Frau Weber;Sehr geehrte Frau Weber;Kirchplatz 1;88171 Weiler;08387-39135;08387-391 7511;weber@weiler-simmerberg.de;je eine Saisonkarte Erwachsene Freibad Weiler;3; 	40,00 € ; 	120,00 €
3;Bufler Modehaus;Karl Bufler;Sehr geehrter Herr Bufler;Bahnhofstraße 14;88161 Lindenberg;08323-9682460;;mode-bufler@web.de;je einen Gutschein über 50,- €;2; 	50,00 € ; 	100,00 €
3;Tyls Brotkorb;Silvia Tyl;Sehr geehrte Frau Tyl;Bräuhausstraße 5;88175 Scheidegg;08381-1349;08381-1341;info@tyls-brotkorb.de;je einen GS ein belegtes Bretzel a'10Pers.;4; 	30,00 € ; 	120,00 €
3;Berg-Apotheke Lindenberg;Veit Ehrhardt;Sehr geehrter Herr Ehrhardt;Bahnhofstr. 2a;88161 Lindenberg;08381-1304;08381-83359;info@berg-apotheke-lindenberg.de;je ein Kosmetik-Set im Wert von 25,- €;3; 	25,00 € ; 	75,00 €
4;Albinger Augenoptik;Ewald Albinger;Sehr geehrter Herr Albinger;Hauptstraße 12;88171 Weiler;08387-1704;;info@optik-albinger.de;je einen Gutschein über 50,- €;2; 	50,00 € ; 	100,00 €
4;Fünfländerblick Restaurant;Robert Schlager;Sehr geehrter Herr Schlager;Am Blasenberg 12;88175 Scheidegg;08381-1609;;fuenflaenderblick@t-online.de;je einen Gutschein für Essen und Trinken über 100,- €;5; 	100,00 € ; 	500,00 €
4;Dorfladen Gestratz;Frieda Buhmann;Sehr geehrte Frau Buhmann;Lanzenberg 96 1/2;88167 Gestratz;08383-330;;johannes.buhmann@gestratz.de;Warengutschein über 50,- €;1; 	50,00 € ; 	50,00 €
4;Monte Rosso;Angelika Gerlich;Sehr geehrte Frau Gerlich;Marktstraße 10;88161 Lindenberg;08381-82960;08381-927 966;info@monte-rosso.de;einen Wertgutschein über 50,- €;1; 	50,00 € ; 	50,00 €
5;Dorfsennerei Böserscheidegg;Helmut Pfanner;Sehr geehrter Herr Pfanner;Böserscheidegg 8;88175 Scheidegg;08381-83456;;info@kaeserei-boeserscheidegg.de;Geschenkkorb;1; 	30,00 € ; 	30,00 €
5;Raiffeisenbank Westallgäu;Rita Friedrich;Sehr geehrte Frau Friedrich;Stromeyerstraße 2;88171 Weiler;08387-9209 13;08387-9209 99;rita.friedrich@rbkwa.de;je ein Jahreslos Gewinnsparen im Wert von 60,- €;10; 	60,00 € ; 	600,00 €
5;Antony's Kunst- und Auktionshaus;Wolfgang Pauritsch;Sehr geehrter Herr Pauritsch;Kirchplatz 4;87534 Oberstaufen;08386-961 261;08386-961 260;info@antonys-auktionshaus.de;einen Gutschein über 150,- €;1; 	150,00 € ; 	150,00 €
5;Jarde Holzbau;Matthias Jarde;Sehr geehrter Herr Jarde;Hochglend 60a;88167 Gestratz;08383-7546;08383-7563;info@jarde-holzhaus.de;Gutschein 'Zum Rössle' Stiefenhofen über 50,- €;1; 	50,00 € ; 	50,00 €
6;Ultramar Süd GmbH;Przybylski Manfred;Sehr geehrter Herr Przybylski;Waldweg 4;88175 Scheidegg;08387-392 9710;08387-392 9723;mp@u-ts.de;Hotelgutschein WE für 2 Personen im Wert von  400,- €;1; 	400,00 € ; 	400,00 €
6;Bernhard Autohaus;Reiner Berhard;Sehr geehrter Herr Bernhard;Kemptenerstraße 95;88131 Lindau;08382-935 60;08382-935 620;info@autohaus-bernhard.com;Eine Woche Elektroauto Twizy;1; 	400,00 € ; 	400,00 €
6;Hollfelder Juwelier;Winfried Hollfelder;Sehr geehrter Herr Hollfelder;Hugo-von-Königseggerstraße 5;87534 Oberstaufen;08386-7763;08386-7837;info@hollfelder.com;Gutschein über 250,- €;1; 	250,00 € ; 	250,00 €
6;Hollfelder Juwelier;Winfried Hollfelder;Sehr geehrter Herr Hollfelder;Hugo-von-Königseggerstraße 5;87534 Oberstaufen;08386-7763;08386-7837;info@hollfelder.com;Gutschein über 250,- €  GLANZPUNKT;1; 	250,00 € ; 	250,00 €
