Name,Sponsor,Day,Anzahl,Lions Member
"einen Büchergutschein im Wert von 100,- €",Kunstverlag Fink,1,1,Rieger
"je einen Gutschein über 20,- €",Reformhaus Stibi,1,5,Lütjens
"je einen Gutschein für Essen und Trinken über 20,- €",Pizzeria Tesoro Kurhaus,1,4,Schrenk
je einen Buffetgutschein im Wert von 29.- €,Cafe Zendler,1,2,Lütjens
"je einen Kuchen (Apfel-/Käse-) im Wert von 27,60 €",Cafe Zendler,1,2,Lütjens
"einen Einkaufsgutschein im Wert von 20,- €",Cafe Zendler,1,1,Lütjens
"je einen Gutschein über 25,- €",Dorf- & Agrarmarkt,2,2,Mayr
"je ein Wurstpaket im Wert von 60,- €",Metzgerei Giray,2,3,Rieger
"je einen Gutschein über 25,- €",Buch Netzer,2,5,Schweda
"je einen Gutschein über 25,- €",Landgasthof Post,2,2,Mayr
"je einen Gutschein über 50,- €",Augenoptik Albinger,3,2,Bihler
"je eine Robin Ruth Tasche im Wert von 25,- €",Christians Dorf Kiosk,3,2,Seiser
"ein Frühstücksbuffet für zwei Personen im Wert von 26,- €",Hotel Waldsee,3,1,Lütjens
"ein Überraschungsmenü im Wert von 40,- €",Hotel Waldsee,3,1,Lütjens
"eine Übernachtung im DZ mit Frühstück im Wert von 100,- €",Hotel Waldsee,3,1,Lütjens
"eine Kuscheldecke im Wert von 70,- €",Betten Specht GmbH,3,1,Rieger
"je einen Gutschein über 30,- €",Brög Obsthof GbR,4,1,Seidl
"einen Warengutschein im Wert von 50,- €",INTERSPORT Haisermann,4,2,Lütjens
"je einen Gutschein für den Meckatzer Fanshop über 25,- €",Meckatzer Löwenbrauerei,4,10,Mayr
"je ein Sektfrühstück im Wert von 20,- €",Bäckerei Rieser,4,3,Bayer
"einen Lautsprecher Bluetooth 4.0 im Wert von 40,- €",Seigerschmidt Hausverwaltung,4,1,Seigerschmidt
"je einen Einkaufsgutschein über 50,- €",Blatt + Blüte Floristik,5,4,Schrenk
"eine Dr. Hauschka Creme im Wert von 37,- €",Propstei Apotheke,5,1,Puls
"ein Lierac Mesolift Serum im Wert von 49,90 €",Propstei Apotheke,5,1,Puls
"ein Caudalie Duschset im Wert von 31,50 €",Propstei Apotheke,5,1,Puls
"ein Dr. Grandell Ampullen Set im Wert von 66,- €",Propstei Apotheke,5,1,Puls
"ein Roger Gallet Set im Wert von 26,50 €",Propstei Apotheke,5,1,Puls
"je einen Gutschein über 20,- €",Sennerei Bremenried e.G.,5,2,Bayer
"eine Woche Elektroauto Renault Zoe im Wert von 400,- €",Autohaus Bernhard,6,1,Seidl
"einen Kochkurs für 4 Personen im Wert von 400,- €",Hotel & Gasthaus zum Hirschen,6,1,Seiser
"einen Gutschein über 250,- €",Glanzpunkt Hollfelder Kempten,6,1,Zander
"einen Gutschein über 250,- €",Glanzpunkt Hollfelder Oberstaufen,6,1,Zander
"einen Hotelgutschein für 2 Personen im Wert von  300,- €",Ultramar Süd GmbH,6,1,Rieger
"einen Käse-Geschenkkorb im Wert von 30,- €",Dorfsennerei Böserscheidegg,7,1,Bayer
"je einen Frühstücksgutschein über 20,- €",Herzlich Suchen & Finden,7,3,Lütjens
"je einen Gutschein über 50,- €",Schuhhaus Nenning-Rupp,7,2,Palzer
"einen Gutschein über 50,- €",Sennerei Gestratz,7,1,Seidl
"je einen Gutschein über 20,- €",Blumen Sinz,7,10,Grunwald
"je ein Kosmetik-Set im Wert von 25,- €",Berg-Apotheke Lindenberg,8,3,Klapperich Th.
"je einen Gutschein über 25,- €",Blumenglück Opfenbach,8,4,Geser
"einen Warengutschein über 100,- €",Hörburger Ski und Sport,8,1,Seidl
"einen Wertgutschein über 50,- €",Monte Rosso,8,1,Zander
"je ein Jahreslos Gewinnsparen im Wert von 60,- €",Raiffeisenbank Westallgäu,8,10,Christ
"je ein Käsepaket im Wert von 30,- €",Käse Baldauf,9,4,Schweda
"je einen Gutschein für Essen und Trinken über 100,- €",Restaurant Fünfländerblick,9,5,Schrenk
"je einen Gutschein über 50,- €",Elektro Grundl,9,2,Bayer
"je eine Wohlfühlmassage im Wert von 22,- €",Therapiezentrum Optenberg,9,3,Zander
"eine Faszienrolle im Wert von 25,- €",Therapiezentrum Optenberg,9,1,Zander
"einen Warengutschein über 50,- €",Dorfladen Gestratz,10,1,Seidl
"je einen Gutschein über 25,00 €",Dorfladen ums Eck,10,5,Geser
"je einen Rostdekor-Gutschein über 30,- €",Geser Erdwärme GmbH & Co. KG,10,10,Geser
"einen Warengutschein über 50,- €",Sehzentrum Westallgäu,10,1,Lütjens
"je einen Brunch im Wert von 37,- €",Villa Lessing,10,2,Bayer
"einen Herrenhaarschnitt im Wert von 20,- €",Ali Barber Friseur,11,1,Lütjens
"einen Damenhaarschnitt im Wert von 37,50 €",Ali Barber Friseur,11,1,Lütjens
"je einen Warengutschein über 20,- €",Bürobedarf Baldauf,11,3,Christ
"je einen Essensgutschein über 25,- €",Lindenberger Hof,11,2,Rieger
"einen Vichy-Kosmetikgutschein über 30,- €",Raphael Apotheke,11,1,Schweda
"je ein Dekokissen im Wert von 30,- €",Allgäuer Parkett Zentrale Bauer,12,2,Klapperich Th.
"einen Laib Bergkäse im Wert von 80,- €",Bergwies Biokäserei,12,1,Seidl
"je einen Gutschein über 20,- €",Bistro Relax Imbiss Grill,12,2,Lütjens
"eine Street Herren Armbanduhr Leder im Wert von 178,- €",Uhren Stegherr,12,1,Schweda
"eine Street Herren Armbanduhr Metall im Wert von 199,- €",Uhren Stegherr,12,1,Schweda
"je eine Kiste Meckatzer Weiss-Gold im Wert 20,- €",Getränke Böller,13,5,Lütjens
"je eine Flasche Prosecco im Wert von 20,- €",Getränke Böller,13,3,Lütjens
"je einen Gutschein über 20,- €",Hochgrat Apotheke,13,10,Puls
"einen Gutschein über 50,- €",Körner Ital. Spezialitäten,13,1,Palzer
"je einen Gutschein über 25,- €",Nail Lounge,13,5,Lütjens
"eine Kutschfahrt mit historischer Kutsche im Wert von 250,- €",Straub Anton Kutschfahrten,13,1,Seidl
"je eine Familienkarte ( 2 Erw. 2 Kinder bis 17 J.) Fußballgolf über 30,- €",Fußball-Park Allgäu Bodensee,14,3,Geser
"je einen Getränkegutschein über 20,- €",Getränke Hohenester,14,3,Christ
"je ein Kosmetik-Set im Wert von 25,- €",Stadt-Apotheke,14,3,Klapperich Th.
"je ein Gewinnsparlos im Wert von  60,- €",Volksbank Lindenberg,14,10,Bihler
"je einen Gutschein über 50,- €",Alpenblick Restaurant,15,10,Mayr
"je einen Gutschein über 25,- €",Modehaus Bufler,15,2,Bihler
"einen Gutschein über 50,- €",Modehaus Bufler,15,1,Bihler
"je eine 10er Karte Erwachsene im Wert von 30,- €",Förderverein Kunsteisplatz,15,2,Mayr
"je eine 10er Karte Jugendliche im Wert von 20,- €",Förderverein Kunsteisplatz,15,2,Mayr
"je ein Gutschein über 20,- €",LandMetzgerei Stohr,15,5,Geser
"einen Gutschein über 150,- €",Antony´s Kunst- und Auktionshaus,16,1,Puls
"je einen Gutschein über 20,- €",Badwirtschaft Malleichen,16,3,Mayr
"je einen Gutschein über 20,- €",Änderungsschneiderei Pascha,16,5,Lütjens
"ein Gutschein über 100,- €",Peter Zodel Maler&Lackierer,16,1,Geser
"je eine Jahreskarte Deutsches Hutmuseum Lindenberg im Wert von 18,- €",Deutsches Hutmuseum,17,5,Hofstetter
"je einen Einkaufsgutschein über 50,- €",Hutfabrik Mayser,17,2,Klapperich Th.
"je eine 10er Karte Hallenbad Lindenberg im Wert von 22,- €",Stadt Lindenberg,17,10,Hofstetter
"je einen Pezziball im Wert von 25,- €",Physiotherapie Praxis Ziegler,17,2,Lütjens
"je eine  Black Roll im Wert von 30,- €",Physiotherapie Praxis Ziegler,17,2,Lütjens
"eine Massage und Wärme im Wert von 25,- €",Physiotherapie Praxis Ziegler,17,1,Lütjens
"eine Kräuterwanderung für 2 Personen im Wert von 80,- €",Allgäuer Kräuterland,18,1,Geser
"je einen Gutschein über 20,- €",Estetica Hair,18,2,Puls
"ein Standkonzert mit der Musikkapelle Gestratz im Wert von 250,- €",Musikkapelle Gestratz,18,1,Seidl
"je einen Gutschein über 25,- €",Pizzeria San Remo,18,2,Geser
"je eine belegte Brezel für 10 Personen im Wert von 30,- €",Tyls Brotkorb,18,4,Grunwald
"je eine Tageskarte Badewelt incl.Saunalandschaft im Wert von 20,50 €",Aquaria Oberstaufen,19,5,Zander
"je einen Gutschein über 25,- €",ARAL Allgäu Betriebe Scheidegg GmbH,19,2,Palzer
"je einen Reisegutschein über 50,- €",Omnibus Held,19,5,Schrenk
"je eine Massage im Wert von 20,- €",Herzberger Therapiezentrum,19,5,Grunwald
"je einen Fahrzeugsicherheitscheck incl. Verbandstasche im Wert von 23,- €",Autohaus Feinaigle,20,3,Mayr
"je einen Gutschein im Wert von 25,- €",Ristorante Pizzeria Gran Sasso,20,2,Schäfer
"eine Weinprobe für 10 Personen incl. Brotzeit im Wert von 300,- €",Weingut Hornstein,20,1,Seidl
"ein Essen für zwei Personen im Wert von 50,- €",Mediterraneo Trattoria Pizzeria,20,1,Zander
"je einen Einkaufsgutschein über 25,- €",Gärtnerei-Floristik Rochelt,20,5,Hessz
"je einen Gutschein über 50,- €",Ristorante Pizzeria Linde,21,2,Palzer
"je eine Saisonkarte Erwachsene Freibad Weiler im Wert von 50,- €",Markt Weiler Simmerberg,21,3,Bayer
"je einen Gutschein über 20,- €",Pletsch Bäckerei,21,6,Lütjens
"je einen Warengutschein im Wert von 20,- €",Metzgerei Vogler,21,5,Lütjens
"je einen Gutschein über 30,- €",Dein Engel Buflings,22,2,Klapperich B.
"einen Renault Captur für ein Wochenende im Wert von 150,- €",Jochim Autohaus,22,1,Seiser
"je einen Kasten Post Edel im Wert von 17,95 €",Postbrauerei Weiler,22,3,Seigerschmidt
"je einen Gutschein über 20,- €",Bäckerei Wucherer,22,3,Schweda
"einen Reifenwechsel mit Einlagerung und Wintercheck im Wert von 50,- €",Aras Auto GmbH,23,1,Seiser
"je einen Essensgutschein über 50,- €",Bräustatt u. Taferne,23,2,Zander
"je einen Gutschein für ein E-Bike für 2 Tage im Wert von 50,- €",Radsport Greiner,23,2,Bayer
"je einen Verzehrgutschein über 20,- €",Landgasthof Rössle,23,5,Mayr
"je einen Landmann Grill im Wert von 300,- €",Hochland Deutschland GmbH,24,3,Christ
"einen Reisegutschein für eine Kreuzfahrt im Wert von 1.000,- €",Holdenried Reisen,24,1,Mayr
"ein Wellnesswochenende für 2 Personen im Wert von 700,- €",Tannenhof Hotel,24,1,Hessz
