Year,Name,Person,Address,City,Phone,Fax,Email
2018,Ali Barber Friseur,Ali Aras,Hauptstr. 52b,88161 Lindenberg,08381-8309391,,barber_ali@kabelmail.de
2018,Allgäuer Kräuterland,Christine Giera,Nadenberg 13,88161 Lindenberg,08381-948581,,chgiera@aol.com
2018,Allgäuer Parkett Zentrale Bauer,Uli Bauer,Buflings 12,87534 Oberstaufen,08386-93630,,uli.bauer@apz-bauer.de
2018,Restaurant Alpenblick,Christian Giselbrecht,Dorf 12,A-6934 Sulzberg,0043-5516-2217,0043-5516-22175,gasthof@alpenblick.co.at
2018,Antony´s Kunst- und Auktionshaus,Wolfgang Pauritsch,Kirchplatz 4,87534 Oberstaufen,08386-961261,08386-961260,info@antonys-auktionshaus.de
2018,Aquaria Oberstaufen,Heidi Köberle ,Alpenstr. 5,87534 Oberstaufen,08386-93130,08386-931340,koeberle@aquaria.de
2018,ARAL Allgäu Betriebe Scheidegg GmbH,Kai Leistner,Bahnhofstr. 44,88175 Scheidegg,08381-81717,,k.leistner@a-b-s.de
2018,Bürobedarf Baldauf,Eveline Baldauf,Kemptener Str. 28,88178 Heimenkirch,08381-3759,08381-6759,louis.baldauf@web.de
2018,Käse Baldauf,Anna Combächer,Goßholz 5,88161 Lindenberg,08381-890277,08381-890255,anna.combaecher@baldauf-kaese.de
2018,Berg-Apotheke Lindenberg,Veit Ehrhardt,Bahnhofstr. 2a,88161 Lindenberg,08381-1304,,info@berg-apotheke-lindenberg.de
2018,Bergwies Biokäserei,Gundula Sontheim,Stockach 3,88167 Maierhöfen,0171-1219364,,info@bergwies-biokaeserei.de
2018,Autohaus Bernhard,Rainer Bernhard,Kemptener Str. 95,88131 Lindau,08382-93560,,rainer@autohaus-bernhard.com
2018,Bistro Relax Imbiss Grill,Selcuk Günes ,Bismarckstr. 13,88161 Lindenberg,08381-8307599,,selcukguenes@web.de
2018,Blatt + Blüte Floristik,Wolfgang Berger,Hauptstr. 102a,88161 Lindenberg,08381-81919,,dr.schrenk@t-online.de
2018,Blumenglück Opfenbach,Barbara Lanz,Alpenweg 2,88145 Opfenbach,08385-332,,blumenglueck-opfenbach@web.de
2018,Getränke Böller ,Michaela Böller,Staufner Str. 2,88161 Lindenberg,08381-2802,,mb-lifecoach@gmx.de
2018,Bräustatt u. Taferne,Josef Holzer,Ellhofer Str. 2,88171 Simmerberg,08387-3806,08387-1776,info@braeustatt-simmerberg.de
2018,Modehaus Bufler,Karl Bufler,Bahnhofstr. 1,88161 Lindenberg,08381-5150,,mode-bufler@web.de
2018,Christians Dorf Kiosk,Christian Reichart,Rathausplatz 5,88175 Scheidegg,08381-3496,,kiosk@scheidegg.de
2018,Denkmal an Kaffee,Angela Bauer-Pferdt,Sennereiweg 5,88167 Gestratz,08383-530,,angela.pferdt@web.de
2018,Dirndlkönigin,Ute Eichstädt,Oberdorf 2,88167 Grünenbach,0152-53928279,,info@diedirndlkoenigin.de
2018,Dorf- & Agrarmarkt,Stephan Rieser,Hauptstraße 21,88167 Stiefenhofen,08383-7656,,info@dorf-agrarmarkt.de
2018,Dorfladen Gestratz,Frieda Buhmann,Lanzenberg 96 1/2,88167 Gestratz,08383-330,,johannes.buhmann@gestratz.de
2018,Dorfladen ums Eck,Thomas Kennerknecht,Sonnenhalde 2,88145 Wohmbrechts,08385-923332,,thomas-kennerknecht@t-online.de
2018,Dorfsennerei Böserscheidegg,Helmut Pfanner,Böserscheidegg 8,88175 Scheidegg,08381-83456,,info@kaeserei-boeserscheidegg.de
2018,Hotel Edita,Dirk Steffen Sander,Am Hammerweiher 3,88175 Scheidegg,08381-912320,,direction@hotel-edita.com
2018,Michael Einsle Holzverarbeitung,Michael Einsle,Hauptstr. 67 1/2,88167 Grünenbach,08383-1238,08383-1239,michael.einsle@web.de
2018,Autohaus Feinaigle,Brigitte Merath,Wigglis 12,88167 Röthenbach,08384-8239010,08384-8239020,info@autohaus-feinaigle.de
2018,Kunstverlag Fink,Josef Fink,Hauptstr. 102b,88161 Lindenberg,08381-83721,08381-83749,fink-josef@t-onlilne.de
2018,Restaurant Fünfländerblick,Robert Schlager,Am Blasenberg 12,88175 Scheidegg,08381-1609,,fuenflaenderblick@t-online.de
2018,Fußball-Park Allgäu Bodensee,Konrad Kohler,Mywiler 161,88145 Opfenbach,08385-9214374,,Fussballgolf@mywiler.de
2018,Geser Erdwärme GmbH & Co. KG,Stefan Geser,Mywiler 160 1/4,88145 Opfenbach,0175-1616576,08385-92492499,stefan.geser@geser.eu
2018,Metzgerei Giray,Willi Giray,Hauptstr. 25,88161 Lindenberg,08381-6084,08381-8780830,m.giray@metzgerei-giray.de
2018,Ristorante Pizzeria Gran Sasso,Giuseppe Manno,Prinzregent-Luitpold-Str. 2,88175 Scheidegg,08381-929004,,dr.schrenk@t-online.de
2018,Radsport Greiner,Manfred Greiner,Blumenstr. 18,88161 Lindenberg,08381-5344,08381-5731,greiner.bike@t-online.de
2018,Elektro Grundl,Fabian Grundl,Dorfstr. 77,88171 Ellhofen,08384-287990,08384-2879950,info@elektro-grundl.de
2018,INTERSPORT Haisermann,Daniel Haisermann,Poststr. 1,88161 Lindenberg,08381-2041,,info@haisermann.de
2018,Sport Hauber,Monika Geißler-Hauber,In der Au 19,87534 Oberstaufen-Steibis,08386-991078,08386-991085,zentrale@sport-hauber.de
2018,Omnibus Held,Ingrid Held,Hans-Liebherr-Str. 20,88161 Lindenberg,08381-928880,,info@omnibus-held.de
2018,Therapiezentrum Herzberger,Sonja Herzberger,Bräuhausstr. 28,88175 Scheidegg,08381-1718,08381-83324,info@therapiezentrum-herzberger.de
2018,Herzlich Suchen & Finden,Barbara Niemann,Hauptstr. 58,88161 Lindenberg,08381-9270022,,info@herzlich-suchen-finden.de
2018,Hotel & Gasthaus zum Hirschen,Markus Stöckeler,Kirchstr. 1,88175 Scheidegg,08381-2119,08381-2116,info@zumhirschenscheidegg.de
2018,Hochgrat Apotheke,Klaus Trenkle,Hugo-von-Königsegg-Str. 4,87534 Oberstaufen,08386-4583,08386-4684,info@hochgratapotheke.de
2018,Hochkant GmbH,Werner Wechsel,Am Tobel 7,88167 Gestratz,08383-929580,,info@hochkant.de
2018,Hochland Deutschland GmbH,Dagmar Graf,Kemptener Str. 17,88178 Heimenkirch,08381-502659,,dagmar.graf@hochland.com
